costcode,week_ending,period_hrs,project_number,project_name
1001100,8/22/2020,32,1300642,Cascade Power Project
1001100,8/8/2020,121.5,1300642,Cascade Power Project
1001100,8/15/2020,251,1300642,Cascade Power Project
1001100,8/22/2020,264.5,1300642,Cascade Power Project
1001100,8/29/2020,247,1300642,Cascade Power Project
1001210,4/2/2022,10,1300642,Cascade Power Project
1001210,4/2/2022,10,1300642,Cascade Power Project
1001210,4/9/2022,50,1300642,Cascade Power Project
1001210,4/9/2022,50,1300642,Cascade Power Project
1001210,4/16/2022,20,1300642,Cascade Power Project
1001210,4/16/2022,20,1300642,Cascade Power Project
1001210,4/30/2022,10.5,1300642,Cascade Power Project
1001210,4/30/2022,10.5,1300642,Cascade Power Project
1001210,5/7/2022,48,1300642,Cascade Power Project
1001210,5/7/2022,48,1300642,Cascade Power Project
1001210,5/14/2022,52,1300642,Cascade Power Project
1001210,5/14/2022,52,1300642,Cascade Power Project
1001210,5/21/2022,48,1300642,Cascade Power Project
1001210,5/21/2022,48,1300642,Cascade Power Project
1001210,5/28/2022,52,1300642,Cascade Power Project
1001210,5/28/2022,52,1300642,Cascade Power Project
1001210,6/4/2022,48,1300642,Cascade Power Project
1001210,6/4/2022,48,1300642,Cascade Power Project
1001210,6/11/2022,52,1300642,Cascade Power Project
1001210,6/11/2022,52,1300642,Cascade Power Project
1001210,6/18/2022,48,1300642,Cascade Power Project
1001210,6/18/2022,48,1300642,Cascade Power Project
1001210,6/25/2022,52,1300642,Cascade Power Project
1001210,6/25/2022,52,1300642,Cascade Power Project
1001210,7/2/2022,48,1300642,Cascade Power Project
1001210,7/2/2022,48,1300642,Cascade Power Project
1001210,7/9/2022,52,1300642,Cascade Power Project
1001210,7/9/2022,52,1300642,Cascade Power Project
1001210,7/16/2022,48,1300642,Cascade Power Project
1001210,7/16/2022,48,1300642,Cascade Power Project
1001210,7/23/2022,52,1300642,Cascade Power Project
1001210,7/23/2022,52,1300642,Cascade Power Project
1001210,7/30/2022,48,1300642,Cascade Power Project
1001210,7/30/2022,48,1300642,Cascade Power Project
1001210,8/6/2022,52,1300642,Cascade Power Project
1001210,8/6/2022,52,1300642,Cascade Power Project
1001210,8/13/2022,10.5,1300642,Cascade Power Project
1001210,8/13/2022,40,1300642,Cascade Power Project
1001210,8/20/2022,50,1300642,Cascade Power Project
1001210,8/27/2022,66,1300642,Cascade Power Project
1001210,9/3/2022,50,1300642,Cascade Power Project
1001210,9/10/2022,50,1300642,Cascade Power Project
1001210,9/17/2022,58,1300642,Cascade Power Project
1001210,9/24/2022,50,1300642,Cascade Power Project
1001210,10/1/2022,50,1300642,Cascade Power Project
1001210,10/8/2022,50,1300642,Cascade Power Project
1001210,10/15/2022,50,1300642,Cascade Power Project
1001210,10/22/2022,50,1300642,Cascade Power Project
1001210,10/29/2022,100,1300642,Cascade Power Project
1001210,11/5/2022,100,1300642,Cascade Power Project
1001210,11/12/2022,100,1300642,Cascade Power Project
1001210,11/19/2022,100,1300642,Cascade Power Project
1001210,11/26/2022,100,1300642,Cascade Power Project
1001210,12/10/2022,101,1300642,Cascade Power Project
1001210,12/17/2022,110,1300642,Cascade Power Project
1001210,1/7/2023,50,1300642,Cascade Power Project
1001210,1/14/2023,51.5,1300642,Cascade Power Project
1001210,1/21/2023,50,1300642,Cascade Power Project
1001210,1/28/2023,50,1300642,Cascade Power Project
1001210,2/4/2023,50,1300642,Cascade Power Project
1001210,2/11/2023,51,1300642,Cascade Power Project
1001210,2/18/2023,27,1300642,Cascade Power Project
1001210,2/25/2023,50.5,1300642,Cascade Power Project
1001210,3/4/2023,50,1300642,Cascade Power Project
1001210,8/15/2020,8,1300642,Cascade Power Project
1001210,8/29/2020,36,1300642,Cascade Power Project
1001210,9/5/2020,72,1300642,Cascade Power Project
1001210,9/12/2020,144,1300642,Cascade Power Project
1001210,9/19/2020,165,1300642,Cascade Power Project
1001210,9/26/2020,280,1300642,Cascade Power Project
1001210,10/3/2020,284,1300642,Cascade Power Project
1001210,10/10/2020,248,1300642,Cascade Power Project
1001210,10/17/2020,254,1300642,Cascade Power Project
1001210,10/24/2020,326,1300642,Cascade Power Project
1001210,10/31/2020,272,1300642,Cascade Power Project
1001210,11/7/2020,313,1300642,Cascade Power Project
1001210,11/14/2020,274.5,1300642,Cascade Power Project
1001210,11/21/2020,233.5,1300642,Cascade Power Project
1001210,11/28/2020,262,1300642,Cascade Power Project
1001210,12/5/2020,263,1300642,Cascade Power Project
1001210,12/12/2020,290,1300642,Cascade Power Project
1001210,12/19/2020,306,1300642,Cascade Power Project
1001210,1/9/2021,440,1300642,Cascade Power Project
1001210,1/16/2021,380,1300642,Cascade Power Project
1001210,1/23/2021,426,1300642,Cascade Power Project
1001210,1/30/2021,374,1300642,Cascade Power Project
1001210,2/6/2021,475,1300642,Cascade Power Project
1001210,2/13/2021,476,1300642,Cascade Power Project
1001210,2/20/2021,570,1300642,Cascade Power Project
1001210,2/27/2021,610,1300642,Cascade Power Project
1001210,3/6/2021,688,1300642,Cascade Power Project
1001210,3/13/2021,732,1300642,Cascade Power Project
1001210,3/20/2021,842,1300642,Cascade Power Project
1001210,3/27/2021,804,1300642,Cascade Power Project
1001210,4/3/2021,816,1300642,Cascade Power Project
1001210,4/10/2021,838,1300642,Cascade Power Project
1001210,4/17/2021,908,1300642,Cascade Power Project
1001210,4/24/2021,886,1300642,Cascade Power Project
1001210,5/1/2021,878,1300642,Cascade Power Project
1001210,5/8/2021,938,1300642,Cascade Power Project
1001210,5/15/2021,1080,1300642,Cascade Power Project
1001210,5/22/2021,1002,1300642,Cascade Power Project
1001210,5/29/2021,988,1300642,Cascade Power Project
1001210,6/5/2021,1094.5,1300642,Cascade Power Project
1001210,6/12/2021,1217.5,1300642,Cascade Power Project
1001210,6/19/2021,1228.5,1300642,Cascade Power Project
1001210,6/26/2021,1207.5,1300642,Cascade Power Project
1001210,7/3/2021,1065,1300642,Cascade Power Project
1001210,7/10/2021,1360,1300642,Cascade Power Project
1001210,7/17/2021,1279,1300642,Cascade Power Project
1001210,7/24/2021,1299,1300642,Cascade Power Project
1001210,7/31/2021,1314.5,1300642,Cascade Power Project
1001210,8/7/2021,1235,1300642,Cascade Power Project
1001210,8/14/2021,1395.5,1300642,Cascade Power Project
1001210,8/21/2021,1370,1300642,Cascade Power Project
1001210,8/28/2021,1402,1300642,Cascade Power Project
1001210,9/4/2021,1378,1300642,Cascade Power Project
1001210,9/11/2021,1429,1300642,Cascade Power Project
1001210,9/18/2021,1569.5,1300642,Cascade Power Project
1001210,9/25/2021,1541.5,1300642,Cascade Power Project
1001210,10/2/2021,1704,1300642,Cascade Power Project
1001210,10/9/2021,1743,1300642,Cascade Power Project
1001210,10/16/2021,1839,1300642,Cascade Power Project
1001210,10/23/2021,1870,1300642,Cascade Power Project
1001210,10/30/2021,2013.5,1300642,Cascade Power Project
1001210,11/6/2021,1925,1300642,Cascade Power Project
1001210,11/13/2021,1933,1300642,Cascade Power Project
1001210,11/20/2021,2006,1300642,Cascade Power Project
1001210,11/27/2021,2048.5,1300642,Cascade Power Project
1001210,12/4/2021,1969,1300642,Cascade Power Project
1001210,12/11/2021,2016.5,1300642,Cascade Power Project
1001210,12/18/2021,2153.5,1300642,Cascade Power Project
